Code,Term,RegionalTerm,Short_definition,Long_definition
NAB1.5,Maruvu Kaṇ Civappu,மருவு கண் சிவப்பு,Redness of eye with headache and emaciation,"It is characterised by redness of eye with lacrimation, heaviness of the eyes, headache, belching and emaciation. It is explained by increased vali (nagan and koorman) and Aẕal (aalosaga Aẕal). Among the seven udarthadukkal Cāram and Cennīr gets affecte"
NAB1.6,Eriviẕi Maẕuṅkutal,எரிவிழி மழுங்குதல்,Heaviness of eyes with watery discharge,It is characterised by heaviness of eyes while seeing sunlight and lacrimation. It is explained by increased vali (nagan and koorman) and Aẕal (aalosaga Aẕal). Among the seven udarthadukkal Cāram and Cennīr gets affected.
NAB1.7,Mataṉamantāram,மதனமந்தாரம்,"Redness,itching,pricky pain of eyes","It is characterised by pricking pain in eyes, mucos discharge, foggy vision, redness, itching, pricky pain of eyes. It is explained by increased vali (nagan and koorman) , Aẕal( aalosaga Aẕal) and aiyam (tharpagam). Among the seven udarthadukkal Cāram and"
NAB1.8,Kaṇ Viraṇam,கண் விரணம்,"Ulcers around the eyes, redness and itching over the eyelids associated with insomnia","It is characterised by ulcers around the eyes, redness and itching over the eyelids associated with insomnia. It is explained by increased vali (nagan and koorman) and Aẕal (aalosaga Aẕal). Among the seven udarthadukkal Cāram and Cennīr gets affected."
NAB1.9,Aṭainteẕuntiṭal,அடைந்தெழுந்திடல்,"Pricking pain in the eye,with watery discharge, inflammation of the eyelid with irritation and rhino","It is characterised by pricking pain in the eye, lacrimation, inflammation of the eyelid with irritation and rhinorhhoea. It is explained by increased vali (nagan and koorman), Aẕal (aalosaga Aẕal) and aiyam (tharpagam). Among the seven udarthadukkal Cāra"
NAC,Aiyam,ஐயம்,,
NAC1.1,Arūpam,அரூபம்,Watery discharge with diminished vision during day time,"It is characterised by lacrimation with diminished vision during day time, mucus discharge with irritation. It is explained by increased vali (nagan and koorman), Aẕal (aalosaga Aẕal) and aiyam (tharpagam). Among the seven udarthadukkal Cāram, Cennīr, Ūṉ"
NAC1.10,Akkaram,அக்கரம்,"Redness in the eye with itching, sensitivity and water discharge from the eye","It is characterised by redness in the eye with itching, sensitivity , headache , yawn, water discharge from the eye. It is explained by increased vali (nagan and koorman), Aẕal ( aalosaga Aẕal). Among the seven udarthadukkal Cāram and Cennīr gets affected"
NAC1.11,Aẕuntiṭum Pirittal,அழுந்திடும் பிரித்தல்,"Stabbing pain in eyes, ulcers around the eye associate with water or purulent discharge, unable to b","It is characterised by stabbing pain in eyes, ulcers around the eye associate with water or purulent discharge, unable to blink. It is explained by increased vali (nagan and koorman), Aẕal (aalosaga Aẕal) and aiyam (tharpagam). Among the seven udarthadu"
NAC1.12,Tuṇṇu Veṇ Pukaiccal,துண்ணு வெண் புகைச்சல்,"Diminished vision due to growth in the eyes, associated pain in the face.","It is characterised by diminished vision due to fleshy growth in the eyes, associated neuralagia in the face, slight itching and depression. It is explained by increased vali ( nagan and koorman) and Aẕal (aalosaga Aẕal). Among the seven udarthadukkal Cā"
NAC1.13,Cōrākkaṇ Tuṭippu,சோரக்கண் துடிப்பு,"Pain in pupils and eye lids, heaviness in eyelids, loss of sleep, initially asymptomatic","It is characterised by throbbing pain in pupils and eye lids, lacrimation, insomnia, heaviness in eyelids, loss of sleep and initially asymptomatic. It is explained by increased vali (nagan and koorman), Aẕal (aalosaga Aẕal) and aiyam (tharpagam). Among"
NAC1.14,Vaḷarnteẕu Rōkam,வளர்ந்தெழு ரோகம்,"Ulcers in the lower eyelids and eyebrows. Growth in the lateral canthus, redness ,painful watery dis","It is characterised by ulcers in the lower eyelids and eyebrows, growth is seen in the lateral canthus of the eye which results in grittiness, pain and lacrimation while blinking, diminished vision . It is explained by increased vali (nagan and koorman) a"
NAC1.15,Mataṉa Mantāram,மதன மந்தாரம்,"Dark, hazzy and blurred vision, head ache with discharge from eye causing redness and the symptoms","It is characterised by dark,hazzy and blurred vision, headache with mucus discharge from eye causing redness and the symptoms aggravates in due course. It is explained by increased vali (nagan and koorman), Aẕal (aalosaga Aẕal) and aiyam (tharpagam). Amon"
NAC1.16,Cuṭarāti Māmicam,சுடராட்டி மாமிசம்,"Greenish discolouration of the pupil, hazziness of vision leading to blindness, fleshy growth with i","It is characterised by greenish discolouration of the pupil, hazziness of vision leading to blindness, fleshy growth with irritation and lacrimation and stabbing pain in eyes.It is explained by aggravated vali and aiyam (tharpagam). Among the seven udarth"
NAC1.17,Uyarntu Kaṇ Puṭaittal,உயர்ந்து கண்புடைத்தல்,Severe pain with swelling with fleshy growth and water discharge and leads to delirium,"It is characterised by severe pain and inflammation, fleshy growth with pricking pain, lacrimation and leads to delirium. It is explained by increased vali (nagan and koorman) and aiyam (tharpagam). Among the seven udarthadukkal Cāram, Cennīr, Ūṉ, Koẕup"
NAC1.18,Kumpimai Taṭittal,கும்பிமை தடித்தல்,"Dishcarge from eye, hazziness of vision, purulent discharge, burning sensation of face and body, ave","It is characterised by mucus dishcarge from eye, hazziness of vision, continous purulent discharge, burning sensation of face and body, aversion to food and vomiting occurs. It is explained by increased vali (nagan and koorman) and Aẕal (aalosaga Aẕal). I"
NAC1.19,Eẕu Ñāyiṟu,எழு ஞாயிறு,Painful abscess in the eye,"It is characterised by intolerable pain, inflammatory swelling in the eyes. It is explained by increased Aẕal , vali (nagan and koorman). Among the seven udarthadukkal Cāram, Cennīr and Ūṉ gets affected."
NAC1.2,Kaṇkuruṭu,கண்குருடு,"Purulent discharge, irritation of the eyes,fleshy growth over the eyes","It is characterised by pain around the orbits, wart like growth, headache and pain in the occipital region. It is explained by increased vali (nagan and koorman) and Aẕal ( aalosaga Aẕal)."
NAC1.20,Piṟavikkuruṭu,பிரவிக்குருடு,Blindness of infants due to intake of high dose of medicines by the mother,"It is characterised by congenital blindness, due to intake of high dose of drugs by the mother, malnutrition or poisonous bite to the mother. It is explained by increased vali (nagan and koorman) and Aẕal (aalosaga Aẕal). Among the seven udarthadukkal Cā"
NAC1.21,Varuñcalarōkam,வருஞ்சலரோகம்,"Increased watery discharge of the eye, sometimes with blackish watery discharge","It is characterised by increased lacrimation of the eye, sometimes with blackish lacrimation. It is explained by increased vali (nagan and koorman) and Aẕal (aalosaga Aẕal). Among the seven udarthadukkal Cāram, Cennīr, Ūṉ, Koẕuppu, Eṉpu and Mūḷai gets a"
NAC1.3,Parumuḷai,பெருமுளை,"Heaviness in the eyes with pain and watery discharge, swelling of the eyelids, unable to open eyes w","It is characterised by heaviness of eyes with pinkish appearance and lacrimation, inflammation of eyelids, blackish or whitish nodular growth over the conjuctiva and headache. It is explained by increased vali (nagan and koorman) and Aẕal (aalosaga Aẕal)"
NAC1.4,Turmāmicam,துர்மாமிசம்,"Fleshy growth in the sclera, swelling of eyelids, discharge from eyes with intolerable pain","It is characterised by fleshy growth in the sclera, swelling of eyelids, watery and mucos discharge from eyes with intolerable pain. It is explained by increased vali (nagan and koorman), Aẕal (aalosaga Aẕal) and aiyam (tharpagam). Among the seven udartha"
NAC1.5,Veḷḷeẕuttu,வெள்ளெழுத்து,"Sensitivity of eyes, blurred vision and long sightedness","It is characterised by sensitivity of eyes, blurred vision, tired eyes and long sightedness. It is explained by increased vali (nagan and koorman) and Aẕal (aalosaga Aẕal). Among the seven udarthadukkal Cāram, Cennīr, Ūṉ, Koẕuppu, Eṉpu and Mūḷai gets af"
NAC1.6,Atimantāram,அதிமந்தாரம்,"Pain in the eyes with watery discharge, diminision of vision in due course,progressing to depresssi","It is characterised by pain in the eyes with lacrimation, later diminished, progressing to depresssion and slow gait. It is explained by increased vali ( nagan and koorman) , Aẕal( aalosaga Aẕal) and . Among the seven udarthadukkal Cāram, Cennīr, Ūṉ, Ko"
NAC1.7,Cōti Neṟi,சோதி நெறி,"Pappillary growth arises within 3 days and resolves leading to pallor of eyes, downward gazing of v","It is characterised by small nodular growth in the eyes which reduces and increases in size which results in pallor eyes, mucus and watery discharge, pain in the occipit and head. Among the seven udarthadukkal Cāram, Cennīr and Ūṉ gets affected."
NAC1.8,Kācamuruki,காசமுருகி,"Redness in cornea, growth in sclera, dicharge from the lower eyelids, associated with headache and t","It is characterised by fleshy growth over the sclera, lacrimation, tooth pain and headache. It is explained by increased vali (nagan and koorman) and Aẕal (aalosaga Aẕal). Among the seven udarthadukkal Cāram, Cennīr, Ūṉ, Koẕuppu, Eṉpu and Mūḷai gets af"
NAC1.9,Mālaikkaṇ,மாலைக்கண்,Night blindness,"It is characterised by impossible to see in relatively low light, insufficient adaptation to darkness, headache, mucus discharge and sensitivity to light. It is explained by increased vali (nagan and koorman), Aẕal( aalosaga Aẕal) and aiyam (tharpagam)."
NB,"Imai Nōykaḷ, Sammiyat-i-Sumūm Maldūgha","இமை நோய்கள், سمّیت سموم ملدوغہ","Eye lid diseases, Sting/Bite poisoning",Sting/Bite poisoning
NBA,Vaḷi,வளி,Eye lid diseases classified under Vali,
NBA1.1,Muṭa Mayir,முட மயிர்,Trichiasis,"It is characterised by inflammed eyelids, pink eyes, distortion of eyelashes which are directed back and rub against cornea , mucus discharge and eylelashes falls down and grows newly. It is explained by increased vali (nagan and koorman) and Aẕal (aalosa"
NBA1.2,Iẕiccakkaṇ,இழிச்சக்கண்,Seborrheic Keratosis,"It is characterised by ulceration of eyelid and thick mucosal discharge with severe pain and non healing. It is explained by increased vali (nagan and koorman) and Aẕal ( aalosaga Aẕal). Among the seven udarthadukkal Cāram, Cennīr and Ūṉ gets affected."
NBA1.3,Cuṟṟukkulaivu,சுற்றுக்குளைவு,Shrunken of orbits,It is characterised by alopecia in eyelashes and ulceration around the eyelids. It is explained by increased vali (nagan and koorman) and Aẕal (aalosaga Aẕal). Among the seven udarthadukkal Cāram and Cennīr gets affected.
NBA1.4,Imaiyuyarcci,இமையுயர்ச்சி,Ectropion,"It is characterised by outward sagging of lower eyelid, exposing the surface of your inner eyelid. This condition can cause eye dryness, excessive tearing and irritation. It is explained by increased vali (nagan and koorman) and Aẕal (aalosaga Aẕal). Am"
NBB,Aẕal,அழல்,Eye lid diseases classified under Azhal,
NBB1.1,Iratta Kaẕalai,இரத்தக்கழலை,Melacystic tumour of eyelid,It is characterised by clotting of blood in eyelid. It is explained by increased Aẕal (aalosaga Aẕal). Among the seven udarthadukkal Cāram and Cennīr gets affected.
NBB1.2,Rattam Paṟpa Rōkam,இரத்தம் பற்ப ரோகம்,Chalazion,"It is characterised by inflammation of eyelids, lacrimation, mucus discharge, reddish eyes. It is explained by increased vali (nagan and koorman), Aẕal (aalosaga Aẕal) and aiyam (tharpagam). Among the seven udarthadukkal Cāram and Cennīr gets affected."
NBB1.4,Puẕukkaṭi,புழுக்கட்டி,Madarosis,"It is characterised by loss of eyelashes and sometimes eyebrows, itching, swollen, itchy, red, burning eyelids. It is explained by increased vali (nagan and koorman) and Aẕal (aalosaga Aẕal). Among the seven udarthadukkal Cāram and Cennīr gets affected."
NBC,Aiyam,ஐயம்,Eye lid diseases classified under aiyam,
NBC1.1,Nīr Pillam,நீர் பில்லம்,Trichinosis,"It is characterised by irritation, inflammation of eyelids, lacrimation, pink eyes and sensitivity to light. It is explained by increased Aẕal( aalosaga Aẕal) that affects vali ( nagan and koorman), and iyam (tharpagam). Among the seven udalthathukkal s"
NBC1.2,Kuṭaṟ Pillam,குடர் பில்லம்,Eye lid disease with infection,"It is characterised by lacrimation and swelling of eyelids. It is explained by increased vali ( nagan and koorman) and Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram, seneer and Ūṉ gets affected."
NBC1.3,Imai Taṭippu,இமை தடிப்பு,Blepharitis,"It is characterised by blepharitis, resulting in inflammed, irritated, itchy, and reddened eyelids. Crusting at the eyelid margins or base of the eyelashes, flaking of skin on eyelids. It is explained by increased vali ( nagan and koorman) and Aẕal( aalo"
NBC1.4,Nīr Kaẕalai,நீர் கழலை,Hydro cystoma,"It is characterised by cysts of sweat ducts, usually on the eyelids. It is explained by increased vali ( nagan and koorman) and Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram and seneer gets affected."
NBC1.5,Tacai Kaẕalai,தசை கழலை,Eyelid tumour,"It is characterised by eyelid tumour. It is explained by increased vali ( nagan and koorman) and Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram, seneer,Ūṉ and Koẕuppu gets affected"
NBC1.6,Nīr Paṟpa Rōkam,நீர் பற்ப ரோகம்,Stye,"It is characterised by a lump on the upper or lower eyelid with localized swelling and pain of the eyelid, redness, tenderness, crusting of the eyelid margins, burning sensation in the eye, droopiness of the eyelid, blurred vision and mucous discharge in"
NBC1.7,Māṅkiṣa Paṟpa Rōkam,மாங்கிச பற்ப ரோகம்,Hordeolum,"It is characterised by disorder of the eyelid, involving either the glands of Zeis and the meibomian glands. It is explained by increased vali ( nagan and koorman) and Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram, seneer,Ūṉ and Koẕuppu gets"
NBC1.8,Imainīr Pāyccal,இமைநீர் பாய்ச்சல்,Epiphora,"It is characterised by overflow of tears onto the face, insufficient tear drainage from the eyes in that tears will drain down the face rather than through the nasolacrimal system. It is explained by increased vali (nagan and koorman) and iyam (tharpagam)"
NC,Kaṭaikaṇ Nōykaḷ,கடைக்கண் நோய்கள்,Eye canthal disease,
NCA,Vaḷi,வளி,Eye canthal disease classified under Vali,
NCA1.1,Viẕi Vali,விழி வலி,Ptosis due to increase vali humour,It is characterised by ptosis. It is explained by increased vali ( nagan and koorman). Among the seven udalthathukkal saram gets affected.
NCA1.2,Nitiravāyu,நித்திரவாயு,"Pain over the eyebrows, reddness of sclera, rhinorhhoea","It is characterised by pain over the eyebrows, reddness of sclera, rhinorhhoea and itching. It is explained by increased vali ( nagan and koorman), Aẕal( aalosaga Aẕal) and iyam (tharpagam). Among the seven udalthathukkal saram gets affected."
NCB,Aẕal,அழல்,Eye canthal disease classified under azhal,
NCB1.1,Ratta Paṭartti,இரத்த படர்த்தி,Spreading of bloody discharge in the outer canthus of eye,It is characterised by bloody discharge in the outer canthus of eye lid. It is explained by increased Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram and seneer gets affected.
NCB1.2,Ratakuvai,ரத்தக்குவை,Cyst with blood accumulation in the outer canthus of eye,It is characterised by cyst with blood accumulation in the outer canthus of eye. It is explained by increased vali ( nagan and koorman) and Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram and seneer gets affected
NCB1.3,Viraṇap Paru,விரணப் பரு,Pappilary growth in the outer canthus of eye,"It is characterised by pappilary growth in the outer canthus of eye. It is explained by increased vali ( nagan and koorman) and Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram, seneer and Ūṉ gets affected."
NCB1.4,Imaikkuruṭu,இமைகுருடு,Diminished vision due to diseases of the outer canthus of eye,"It is characterised by diminished vision due to diseases of the outer canthus of eye. It is explained by increased Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram, seneer, Ūṉ, Koẕuppu, Eṉpu and Mūḷai gets affected"
NCC,Aiyam,ஐயம்,Eye canthal disease classified under aiyam,
NCC1.1,Kaṇ Nōkkāṭu,கண் நோக்காடு,growth in the outer canthus of the eye with watery discharge,"It is characterised by growth in the outer canthus of the eye with lacrimation. It is explained by increased Aẕal( aalosaga Aẕal) and iyam (tharpagam). Among the seven udalthathukkal saram, seneer, Ūṉ, Koẕuppu, Eṉpu and Mūḷai gets affected."
NCC1.2,Pūccāntiram,பூச்சாந்திரம்,growth above the medial canthus,"It is characterised by mucus discharge of the lower lid, small papular growth above the medial canthus and sharp stinging pain in the eyes. It is explained by increased vali ( nagan and koorman). Among the seven udalthathukkal saram, seneer, Ūṉ, Koẕuppu,"
NCC1.3,Imaik Kumiẕ,இமைக் குமிழ்,cyst in the lateral canthus of eye,"It is characterised by cyst in the medial canthus of eye. It is explained by increased vali ( nagan and koorman) and Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram, seneer, Ūṉ, Koẕuppu, Eṉpu and Mūḷai gets affected"
ND,Karuviẕi Nōykaḷ,கருவிழி நோய்கள்,Corneal disease,
NDA,Vaḷi,வளி,Corneal disease caused by Vali,
NDA1.1,Vaḷi Kācam,வளி காசம்,Corneal eye disease with blindness and increased lacrimation,"It is characterised by blindness and increased lacrimation, laziness of eyes, swelling of eyelids and insomnia. It is explained by increased vali ( nagan and koorman) and iyam (tharpagam). Among the seven udalthathukkal saram, seneer, Ūṉ, Koẕuppu, Eṉpu an"
NDA1.10,Ceri Vari,செரி வரி,Corneal eye disease with itching,"It is characterised by semi - circular shaped lesion above the cornea. It is explained by increased vali ( nagan and koorman) and Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram, seneer, Ūṉ, Koẕuppu, Eṉpu and Mūḷai gets affected"
NDA1.11,Mālaikkaṇ Timiram,மாலைக்கண் திமிரம்,Night blindness,"It is characterised by vision impairment. People with night blindness experience poor vision at night, dry mouth, headache, sneezing, mucus and lacrimation of eyes. It is explained by increased vali ( nagan and koorman), Aẕal( aalosaga Aẕal) and iyam (th"
NDA1.12,Vaṟaṭcit Timiram,வறட்சித் திமிரம்,Corneal eye disease with increased lacrimation and yellowish muco discharge,"It is characterised by loss of vision increased lacrimation and yellowish muco discharge. It is explained by increased vali (nagan and koorman) and Aẕal ( aalosaga Aẕal). Among the seven udalthathukkal saram, seneer, Ūṉ, Koẕuppu, Eṉpu and Mūḷai gets aff"
NDA1.13,Vāyu Timiram,வாயு திமிரம்,Corneal eye disease with vertex pain and vision loss,"It is characterised by vertex pain and vision loss . It is explained by increased vali ( nagan and koorman) and Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram, seneer, Ūṉ, Koẕuppu, Eṉpu and Mūḷai gets affected."
NDA1.14,Pukaippū,புகைப்பு,Corneal eye disease with cloudy vision,"It is characterised by cataract formation which results in cloudy appearance. It is explained by increased vali ( nagan and koorman) and Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram, seneer and Ūṉ gets affected"
NDA1.15,Catai Kuntam,சதை குந்தம்,conreal eye disease with watery discharge,"It is characterised by Corneal disease with grItiness, photophobia, diminished vision, eye irritation, prurItis and lacrimation. It is explained by increased vali ( nagan and koorman) and Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram, seneer"
NDA1.2,Vāla Kācam,வால காசம்,"Corneal eye disease with pain, blurry vision and bluish discoloration of cornea","It is characterised by pain, blurry vision in morning and bluish discoloration of cornea. It is explained by increased vali ( nagan and koorman) and Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram and seneer gets affected."
NDA1.3,Maṇinīla Kācam,மணிநீல காசம்,Corneal eye disease with lacrimation and redness of eyes,"It is characterised by lacrimation, pricking pain in eyes, blurry vision and redness of eyes. It is explained by increased vali ( nagan and koorman) and Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram and seneer gets affected."
NDA1.4,Nīreẕu Kācam,நீரெழு காசம்,Corneal eye disease with fleshy growth in the cornea and heaviness of the eyelid,"It is characterised by redness around the cornea, lacrimation and heaviness of the eyelid. It is explained by increased Aẕal( aalosaga Aẕal) and iyam (tharpagam). Among the seven udalthathukkal saram and seneer gets affected."
NDA1.5,Tuttiṭuṅ Kācam,துட்டித்துன் காசம்,"Corneal eye disease with lacrimation, blurred vision and pruritus","It is characterised by pricking pain, grittiness in lower eyelid, lacrimation, blurred vision and loss of vision gradually. It is explained by increased vali ( nagan and koorman), Aẕal( aalosaga Aẕal) and iyam (tharpagam). Among the seven udalthathukkal"
NDA1.6,Cataip Paṭalam,சதைப் படலம்,"Corneal eye disease with reddish discoloration of eyes, pain,irritation and yellow mucous discharge","It is characterised by reddish discoloration of eyes, pain, irritation and grittiness in the eyes. It is explained by increased vali ( nagan and koorman) and Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram and seneer gets affected."
NDA1.7,Karuṅkumutam,கருங்குமுதம்,corneal eye disease with blackish fleshy growth over the cornea and vision loss,"It is characterised by blackish fleshy growth over the cornea and vision loss. It is explained by increased vali ( nagan and koorman) and Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram, seneer, Ūṉ, Koẕuppu, Eṉpu and Mūḷai gets affected"
NDA1.8,Viraṇa Cukkiraṉ,விரண சுக்கிரன்,Corneal ucers which closes the pupil,"It is characterised by corneal ucers which closes the pupil. It is explained by increased vali ( nagan and koorman) and Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram, seneer and Ūṉ gets affected."
NDA1.9,Karutta Cukkiraṉ,கருத்த சுக்கிரன்,Corneal eye disease with blackish corneal ulcers,"It is characterised by Corneal disease with blackish fleshy growth over the cornea and vision loss. It is explained by increased vali ( nagan and koorman) and Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram, seneer, Ūṉ, Koẕuppu, Eṉpu and Mūḷa"
NDB,Aẕal,அழல்,Corneal disease caused by Azhal,
NDB1.1,Kumarikkācam,குமரிக்காசம்,"Corneal eye disease with intolerable pain, whitish discharge and inflammation of the cornea","It is characterised by intolerable pain, mucus discharge, pricking pain in the centre of the eye and inflammation of the pupil. It is explained by increased vali ( nagan and koorman), Aẕal( aalosaga Aẕal) and iyam (tharpagam). Among the seven udalthathukk"
NDB1.10,Karunākap Paṭalam,கருநாகப் படலம்,Corneal eye disease with lacrimation with circumferential retinal fold,"It is characterised by lacrimation with circumferential retinal fold, presence of multicolour vision and pricking pain in the eyes. It is explained by increased vali (nagan and koorman), Aẕal( aalosaga Aẕal) and iyam (tharpagam). Among the seven udalthath"
NDB1.11,Pacuviẕip Paṭalam,பசுவிழிப் படலம்,Corneal eye disease with vision damage,"It is characterised by lacrimation, heat and vision damage. It is explained by increased Aẕal( aalosaga Aẕal) and iyam (tharpagam). Among the seven udalthathukkal saram and seneer gets affected"
NDB1.12,Ceṅkumutam,செங்குமுதம்,Corneal eye disease with red fleshy growth over the cornea and increased lacrimation,It is characterised by red fleshy growth over the cornea and increased lacrimation. It is explained by increased Aẕal( aalosaga Aẕal) and iyam (tharpagam). Among the seven udalthathukkal saram and seneer gets affected
NDB1.13,Uṭṭaṉa Nerical,உத்தன நெரிசல்,Corneal eye disease with whitish discoloration of cornea,It is characterised by whitish discoloration of cornea. It is explained by increased Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram and seneer gets affected
NDB1.14,Aṉaṟ Cukkiraṉ,அனர் சுக்கிரன்,Corneal ulcers with pain and inflammation in eyes,"It is characterised by corneal ulcers with pain and inflammation in eyes and loss of vision. It is explained by increased vali (nagan and koorman) and Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram, seneer, Ūṉ, Koẕuppu, Eṉpu and Mūḷai gets"
NDB1.15,Cori Vari,சொறிவரி,Corneal eye disease with irritation,"It is characterised by irritation, lacrimation and bursting of blood vessels. It is explained by increased Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram and seneer gets affected"
NDB1.16,Mēkat Timiram,மேகத் திமிரம்,Corneal eye disease with burning sensation of eye,It is characterised by burning sensation of eye. It is explained by increased Aẕal( aalosaga Aẕal).Among the seven udalthathukkal saram and seneer gets affected
NDB1.17,Untal Pū,உந்தல் பூ,Corneal eye disease with severe irritation in eyes,It is characterised by cataract and severe irritation in eyes. It is explained by Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram and seneer gets affected
NDB1.18,Utira Kuntam,உதிர குந்தம்,Corneal eye disease with mild haematoma,"It is characterised by mild haematoma, photophobia, lacrimation, pus discharge, dull vision and itching in eyes. It is explained by increased vali (nagan and koorman), Aẕal( aalosaga Aẕal) and iyam (tharpagam). Among the seven udalthathukkal saram, senee"
NDB1.2,Raṇa Kācam,இரண காசம்,Corneal eye disease caused by trauma,It is characterised by trauma. It is explained by increased vali ( nagan and koorman). Among the seven udalthathukkal saram and seneer gets affected.
NDB1.3,Uṭainteẕu Kācam,உடைத்தெழு காசம்,"Corneal eye disease with redness , lacrimation pricking pain in the forehead and ear","It is characterised by redness , lacrimation , pricking pain in the forehead and ear. It is explained by increased vali ( nagan and koorman) and Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram and seneer gets affected"
NDB1.4,Mālai Kācam,மாலை காசம்,Corneal eye disease with irritation and blurred vision of eye,It is characterised by irritation and blurred vision in evening time. It is explained by increased vali ( nagan and koorman) and Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram and seneer gets affected.
NDB1.5,Ūṟu Kācam,ஊரு காசம்,"Corneal eye disease with redness, irritation and constriction of pupil","It is characterised by redness, irritation, swelling of eyelids, dull vision, spreading of fleshy growth over the eye at night time and constriction of pupil. It is explained by increased vali ( nagan and koorman) and Aẕal( aalosaga Aẕal). Among the seve"
NDB1.6,Vārēẕu Kācam,வாரெழு கசம்,"Corneal eye disease with lacrimation, blurred vision and pruritus","It is characterised by lacrimation, blurred vision, itching, pricking pain in palm and plantar aspect, itching in eyes and diminshed vision. It is explained by increased vali ( nagan and koorman), Aẕal( aalosaga Aẕal) and iyam (tharpagam). Among the seve"
NDB1.7,Antira Kācam,அந்திர காசம்,Corneal eye disease with redness and blankspot of eyes,"It is characterised by redness, blank spot of eyes and dimished vision. It is explained by increased vali (nagan and koorman) and Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram, seneer, Ūṉ, Koẕuppu, Eṉpu and Mūḷai gets affected."
NDB1.8,Rattap Paṭalam,இரத்தப் படலம்,"Corneal eye disease with reddish discoloration of eyes, pain,irritation and yellow mucous discharge","It is characterised by swelling of eyelids, reddish discoloration of eyes, excruciating pain, irritation and mucous discharge, increased pain in the occipetal area, vertex and forehead. It is explained by increased vali (nagan and koorman), Aẕal( aalosaga"
NDB1.9,Vari Eẕuccippaṭalam,வரி எழுச்சிப்படலம்,Corneal eye disease with presence of corneal epithelial line which inturn decreases the vision,"It is characterised by presence of corneal epithelial line which inturn decreases the vision, lacrimation, grittiness of the eye and heatness of the eye. It is explained by increased vali (nagan and koorman) and Aẕal( aalosaga Aẕal). Among the seven udalt"
NDC,Aiyam,ஐயம்,Corneal disease caused by aiyam,
NDC1.1,Aiya Kācam,ஐய காசம்,Corneal eye disease with apraxia and cruciating pain in the forehead,"It is characterised by apraxia , heavy lacrimation and cruciating pain in the forehead like scorpion bIte. It is explained by increased vali (nagan and koorman) and and iyam (tharpagam). Among the seven udalthathukkal saram and seneer gets affected"
NDC1.10,Pañcu Nīr Paṭalam,பஞ்சு நீர் படலம்,Corneal eye disease with vision damage,"It is characterised by Corneal disease with vision damage, blurry vision, little lacrimation and mucus discharge and sometimes grittiness in the lateral canthi of the eye. It is explained by increased vali (nagan and koorman) and Aẕal( aalosaga Aẕal). Amo"
NDC1.11,Veṇkumutam,வேங்குமுதம்,"Corneal eye disease with white spot on cornea, pricking pain and vision loss","It is characterised by white spot on cornea, pricking pain and vision loss. It is explained by increased vali (nagan and koorman) and Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram, seneer, Ūṉ, Koẕuppu, Eṉpu and Mūḷai gets affected"
NDC1.12,Nīr Nerical,நீர் நெரிசல்,Corneal eye disease with scorpion like structure in cornea,It is characterised by scorpion like structure in cornea. It is due to heat and lacrimation stagnation of the eyes. It is explained by increased vali (nagan and koorman). Among the seven udalthathukkal saram gets affected .
NDC1.13,Viẕi Viẕuṅki Cukkiraṉ,விழி விழங்கி சுக்கிரன்,Corneal ulcers with pain and irritation in eyes,"It is characterised by corneal ulcers with pain and irritation in eyes. It is due to heat in the eyes, lacrimation stagnation of the eyes. It is explained by increased vali (nagan and koorman) and Aẕal( aalosaga Aẕal). Among seven udalthathukkal saram g"
NDC1.14,Veṇ Cukkiraṉ,வெண் சுக்கிரன்,Corneal eye disease with dew like appearance on the cornea which causes vision loss,"It is characterised by dew like appearance on the cornea which causes vision loss. It is due to heat in the eyes, lacrimation stagnation of the eyes. It is explained by increased vali (nagan and koorman) and Aẕal( aalosaga Aẕal). Among seven udalthathuk"
